# Phase 12 route smoke — captured 2026-07-25T23:30:58.001Z

project    demo-commerce  019f9b9c-a048-732c-9939-1bf66295bf4d
agent      refund-agent  019f9b9c-a05b-7094-bc3c-e75f40abe68f
contract   refund-agent-local 0.1.0 (active)  019f9b9d-2630-7039-8ea8-65d9945c1cd2

HTTP  MARKER            EVIDENCE                       ROUTE
200   landing           title+content+skip             /
200   setup             title+content+skip             /setup
200   projects          title+content+skip             /projects
200   demo              title+content+skip             /demo
200   overview          title+content+skip             /projects/:project/overview
200   agents            title+content+skip             /projects/:project/agents
200   agent             title+content+skip             /projects/:project/agents/:agent
200   agent             title+content+skip             /projects/:project/agents/:agent?tab=routes
200   agent             title+content+skip             /projects/:project/agents/:agent?tab=contracts
200   agent             title+content+skip             /projects/:project/agents/:agent?tab=releases
200   agent             title+content+skip             /projects/:project/agents/:agent?tab=violations
200   agent             title+content+skip             /projects/:project/agents/:agent?tab=telemetry
200   baseline-new      title+content+skip             /projects/:project/agents/:agent/baselines/new
200   route-family      title+content+skip             /projects/:project/agents/:agent/routes/:family
200   contract-studio   title+content+skip             /projects/:project/agents/:agent/contracts/:contract
200   releases          title+content+skip             /projects/:project/agents/:agent/releases
200   release-diff      title+content+skip             /projects/:project/agents/:agent/releases/:release
200   release-diff      title+content+skip             /projects/:project/agents/:agent/releases/019f9b9c-d6e3-7201-b83d-2479c714c69d
200   violation         title+content+skip             /projects/:project/violations/:violation
200   integration       title+content+skip             /projects/:project/integrations/signoz

All 20 route responses rendered real content and leaked nothing.
