# Phase 12 route smoke — captured 2026-07-26T00:25:44.424Z

project    demo-commerce  019f9bcf-27a4-7307-9c0a-d0831c247868
agent      refund-agent  019f9bcf-27b1-7145-ba3d-2a0c3dabfaaf
contract   refund-agent-local 0.1.0 (active)  019f9bcf-9b9d-72ae-8507-f0f9c3f5cd03

HTTP  MARKER            EVIDENCE                       ROUTE
200   landing           title+content+skip             /
200   setup             title+content+skip             /setup
200   projects          title+content+skip             /projects
200   demo              title+content+skip             /demo
200   overview          title+content+skip             /projects/:project/overview
200   agents            title+content+skip             /projects/:project/agents
200   agent             title+content+skip             /projects/:project/agents/:agent
200   agent             title+content+skip             /projects/:project/agents/:agent?tab=routes
200   agent             title+content+skip             /projects/:project/agents/:agent?tab=contracts
200   agent             title+content+skip             /projects/:project/agents/:agent?tab=releases
200   agent             title+content+skip             /projects/:project/agents/:agent?tab=violations
200   agent             title+content+skip             /projects/:project/agents/:agent?tab=telemetry
200   baseline-new      title+content+skip             /projects/:project/agents/:agent/baselines/new
200   route-family      title+content+skip             /projects/:project/agents/:agent/routes/:family
200   contract-studio   title+content+skip             /projects/:project/agents/:agent/contracts/:contract
200   releases          title+content+skip             /projects/:project/agents/:agent/releases
200   release-diff      title+content+skip             /projects/:project/agents/:agent/releases/:release
200   release-diff      title+content+skip             /projects/:project/agents/:agent/releases/019f9bcf-5cb8-70ec-8acb-646b3d907cfc
200   violation         title+content+skip             /projects/:project/violations/:violation
200   integration       title+content+skip             /projects/:project/integrations/signoz

All 20 route responses rendered real content and leaked nothing.
